bike_station,bike_lat,bike_lon,tram_stop,tram_lat,tram_lon,tram_line,distance_km,distance_m,walkable_5min,walkable_10min
Saint-Guilhem - Courreau,43.6089424,3.8727765,Arceaux,43.6100217,3.8615025,43239,0.9155867143731067,915.5867143731067,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Peyrou - Arc de Triomphe,43.6117993,3.8723484,44103,0.3195370673221301,319.5370673221301,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Saint-Guilhem - Courreau,43.6081132,3.8735064,44204,0.10933819811849547,109.33819811849547,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Saint-Guilhem - Courreau,43.6081284,3.8735437,44104,0.10958104742037808,109.58104742037808,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Peyrou - Arc de Triomphe,43.611415,3.8722575,44203,0.27809765735866127,278.09765735866125,True,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Albert 1er - Jardin des Plantes,43.6148176,3.8737832,44102,0.6583006451596751,658.3006451596751,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Albert 1er - Jardin des Plantes,43.6148246,3.873733,44202,0.6585883128522142,658.5883128522142,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Place du 8 Mai 1945,43.6012443,3.8679343,Unknown,0.9405986663730264,940.5986663730264,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Place du 8 Mai 1945,43.6012189,3.8679665,Unknown,0.942100941158972,942.100941158972,False,False
Saint-Guilhem - Courreau,43.6089424,3.8727765,Parc Clemenceau,43.6031532,3.8717667,Unknown,0.6488439125144475,648.8439125144475,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Parc Clemenceau,43.6033971,3.8721461,Unknown,0.6186947868398885,618.6947868398886,False,True
Saint-Guilhem - Courreau,43.6089424,3.8727765,Gambetta - Saint-Denis,43.6050726,3.8745319,Unknown,0.45291911387975825,452.91911387975824,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Corum,43.6142561,3.881957,41131,0.692056746847134,692.056746847134,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Louis Blanc - Agora de la Danse,43.6147274,3.8782032,41129,0.39781906792838806,397.81906792838805,True,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Stade Philippidès,43.6189067,3.8694871,41125,0.4441971676401017,444.1971676401017,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Albert 1er - Saint-Charles,43.6164538,3.8741502,41127,0.020755711058897407,20.755711058897408,True,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Corum,43.6144182,3.8818054,42141,0.6740646258037956,674.0646258037956,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Boutonnet  - Cité des Arts,43.6224984,3.8681444,41123,0.8071911711225622,807.1911711225622,False,False
Place Albert 1er - St Charles,43.6166028,3.8739949,Jeu de Mail des Abbés,43.6204816,3.8840706,42145,0.9186326108753801,918.63261087538,False,False
Place Albert 1er - St Charles,43.6166028,3.8739949,Beaux-Arts,43.6170502,3.8835972,42143,0.774600803808326,774.600803808326,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Beaux-Arts,43.6169338,3.8834353,42227,0.7608598418911394,760.8598418911395,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Corum,43.6141886,3.881667,41225,0.6734484651700757,673.4484651700757,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Corum,43.6144479,3.8821386,42229,0.6980121396792753,698.0121396792754,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Jeu de Mail des Abbés,43.6203407,3.884074,42225,0.9116261210481031,911.6261210481032,False,False
Place Albert 1er - St Charles,43.6166028,3.8739949,Louis Blanc - Agora de la Danse,43.6147682,3.8780174,41227,0.3827237122712856,382.7237122712856,True,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Albert 1er - Saint-Charles,43.6166028,3.8739949,41229,0.0,0.0,True,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Boutonnet  - Cité des Arts,43.6226771,3.868106,41233,0.8251821335685344,825.1821335685345,False,False
Place Albert 1er - St Charles,43.6166028,3.8739949,Stade Philippidès,43.6190802,3.8695186,41231,0.45357877569709,453.57877569709,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Jeu de Mail des Abbés,43.6204066,3.8840474,Unknown,0.9130916548027614,913.0916548027615,False,False
Place Albert 1er - St Charles,43.6166028,3.8739949,Peyrou - Arc de Triomphe,43.6117993,3.8723484,44103,0.5503265661101943,550.3265661101942,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Saint-Guilhem - Courreau,43.6081132,3.8735064,44204,0.9448193163134951,944.8193163134952,False,False
Place Albert 1er - St Charles,43.6166028,3.8739949,Saint-Guilhem - Courreau,43.6081284,3.8735437,44104,0.9430101729625362,943.0101729625362,False,False
Place Albert 1er - St Charles,43.6166028,3.8739949,Peyrou - Arc de Triomphe,43.611415,3.8722575,44203,0.5935720061973322,593.5720061973321,False,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Albert 1er - Jardin des Plantes,43.6148176,3.8737832,44102,0.19923542731191662,199.23542731191662,True,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Albert 1er - Jardin des Plantes,43.6148246,3.873733,44202,0.19884773304080627,198.84773304080628,True,True
Place Albert 1er - St Charles,43.6166028,3.8739949,Jeu de Mail des Abbés,43.6204139,3.8840985,Unknown,0.9171139649926091,917.1139649926091,False,False
Place Viala,43.6168167,3.8550842,Jules Guesde,43.6113243,3.8467949,43115,0.9046111895047441,904.6111895047441,False,False
Place Viala,43.6168167,3.8550842,Astruc,43.6102597,3.855048,43117,0.7291109584324397,729.1109584324397,False,True
Place Viala,43.6168167,3.8550842,Arceaux,43.609864,3.8624768,43119,0.9756518638183256,975.6518638183256,False,False
Place Viala,43.6168167,3.8550842,Jules Guesde,43.6114471,3.8466375,43243,0.9049315693071179,904.9315693071179,False,False
Place Viala,43.6168167,3.8550842,Astruc,43.610261,3.8548,43241,0.7293195561974559,729.3195561974559,False,True
Place Viala,43.6168167,3.8550842,Arceaux,43.6100217,3.8615025,43239,0.9153568005891363,915.3568005891362,False,False
Les Arceaux,43.6126513,3.8632773,Stade Philippidès,43.6189067,3.8694871,41125,0.8565769872507952,856.5769872507952,False,False
Les Arceaux,43.6126513,3.8632773,Albert 1er - Saint-Charles,43.6164538,3.8741502,41127,0.9720910860975531,972.0910860975531,False,False
Les Arceaux,43.6126513,3.8632773,Astruc,43.6102597,3.855048,43117,0.7139112876020437,713.9112876020437,False,True
Les Arceaux,43.6126513,3.8632773,Plan Cabanes,43.6085497,3.8680755,43121,0.5976927149741924,597.6927149741924,False,True
Les Arceaux,43.6126513,3.8632773,Arceaux,43.609864,3.8624768,43119,0.31656332700516754,316.56332700516754,True,True
Les Arceaux,43.6126513,3.8632773,Astruc,43.610261,3.8548,43241,0.732425835209201,732.4258352092011,False,True
Les Arceaux,43.6126513,3.8632773,Albert 1er - Saint-Charles,43.6166028,3.8739949,41229,0.9682527646584975,968.2527646584975,False,False
