departure_station,return_station,dep_quartier,ret_quartier,trip_count,distance_crow_m,distance_bike_osm_m,rugosite,elevation_gain_m,energy_proxy_kj,dep_lat,dep_lon,ret_lat,ret_lon
Place Viala,Parvis Jules Ferry - Gare Saint-Roch,Les Cévennes,Centre,637,2462.4044772115685,3025.258188638631,1.228578901896913,0.0,13.35500227374524,43.6168167,3.8550842,43.605325,3.881229
Boutonnet,Médiathèque Emile Zola,Centre,Centre,635,2416.7211232316827,3375.816510503331,1.3968581141001195,0.0,14.902541985616956,43.6199984,3.8678033,43.6082468,3.8930561
Occitanie,Foch,Hôpitaux-Facultés,Centre,635,3269.07820260606,3472.834668704851,1.062328415984775,7.903404235839844,22.308744244820566,43.6343515,3.8486697,43.6109947,3.8733344
Place Albert 1er - St Charles,Père Soulas,Centre,Hôpitaux-Facultés,632,1595.156950016892,1700.0780594646408,1.0657747875195842,9.087692260742188,15.528518090515936,43.6166028,3.8739949,43.6219699,3.855618
Antigone centre,Place Albert 1er - St Charles,Centre,Centre,631,1641.18092254978,1971.474291653606,1.2012534782519126,5.965963363647461,13.970422314269188,43.6079062,3.8904657,43.6166028,3.8739949
Place Viala,Halles Castellane,Les Cévennes,Centre,629,1903.2531825854933,2065.6431117932966,1.085322294844243,4.952117919921875,13.491006428510532,43.6168167,3.8550842,43.6101245,3.8768434
Foch,Place Albert 1er - St Charles,Centre,Centre,626,625.8552527610549,1143.6091398255226,1.82727417366926,0.0,5.04846254775977,43.6109947,3.8733344,43.6166028,3.8739949
Médiathèque Emile Zola,Rue Jules Ferry - Gare Saint-Roch,Centre,Centre,625,1006.116625351154,2144.565827366657,2.1315280687446774,8.422706604003906,16.90359350558516,43.6082468,3.8930561,43.6053253,3.8812294
Plan Cabanes,Boutonnet,Centre,Centre,623,1280.2605632930577,1824.0157885239196,1.424722311083477,0.0,8.052117698438842,43.6084996,3.868611,43.6199984,3.8678033
Place Viala,Observatoire,Les Cévennes,Centre,623,1312.7041811098234,1522.4076741631598,1.1597492383059549,0.0,6.720668677593269,43.6168167,3.8550842,43.6145267,3.8710807
Comédie,Hôtel de Ville,Centre,Prés d'Arènes,622,1700.1712499485868,2236.506112639664,1.3154593178230107,0.0,9.873056234247796,43.6091864,3.8815041,43.5985194,3.8966319
Voltaire,Port Marianne,Centre,Port Marianne,620,2255.500190662773,3061.6159015495336,1.3573999746148924,4.937900543212891,17.87517578699308,43.6037185,3.8889694,43.6059165,3.9168169
Plan Cabanes,Observatoire,Centre,Centre,618,699.0562198624365,1046.351599309584,1.49680607879505,0.0,4.619119135152158,43.6084996,3.868611,43.6145267,3.8710807
Boutonnet,Saint-Guilhem - Courreau,Centre,Centre,616,1292.921847376005,1902.228507772469,1.471263334000471,7.785030364990234,15.270791056811444,43.6199984,3.8678033,43.6089424,3.8727765
